,Raw_Comments
0,Em bắt đầu chạy tới không nổi
1,Em tập 1tuân dồi vẫn không thể đi được
2,Anh ơi em chạy không biết giữ cân bằng
3,"<a href=""https://www.youtube.com/watch?v=VZxvYi591Cg&amp;t=6m45s"">6:45</a>"
4,"<a href=""https://www.youtube.com/watch?v=VZxvYi591Cg&amp;t=4m56s"">4:56</a>"
5,Thần chết luôn sẵn sàng dang tay chào đón bạn đến với địa ngục
6,Tôi đã từng bốc đầu đi
7,Trước khi tôi nhập viện thích làm vậy lắm!
8,A kéo kênh lên hộ e vs
9,🤣🤣
10,"Anh ơi , em đi đường em hay thấy mấy ông đạp xe đạp hay thả 2 chạy thả tay lắm, anh chỉ em cách làm vậy đi anh 🙏"
11,Xe e nó nặng lắm có bốc đc ko a
12,Hàn líp cho nhanh
13,Bốc đầu xong bốc đất nên đắp mả xây mộ luôn
14,Hay anh ơi
15,Khiêm Tốn - Thật Thà - Dũng cảm ! Cám ơn bạn - mình qua 30 mà củng thích chinh phục kỹ năng và cảm giác này vì thuở nhỏ thấy anh chị chơi rất hay !
16,Cảm ơn a nhiều nha
17,Được
18,dislike thứ 800
19,Phanh cơ khó mà bóp được
20,Cảm ơn Video hướng dẫn bốc đầu hay lắm.
21,Em bốc đc r nhưng vẫn bốc còn té
22,Em toàn lấy tay à ko lên noi
23,anh ơi em làm theo anh nhưng mãi không lên được ạ. em chỉ bốc thấp được thôi ạ
24,Anh ơi sao xe em bốc mãi ko đc
25,Xe đạp đẹp như này bao nhiêu anh
26,Anh ơi cần chọn xe gì để bốc đầu
27,Ủa anh em bốc e bay vô bụi cây té tháy má luôn 😤
28,Thắng  sau ko ăn thì  sao anh
29,e có 7 líp đi líp nào a
30,em đi con LIFE-ck24 khó bốc lắm anh ạ<br />anh có thể hướng dẫn cách bốc con đấy ko ạ?
31,"anh ơi, anh có thể giải thích về cách thăng bằng để xe ko bị ngã sang hai bên được ko ạ."
32,Xem cái này trước mặt phụ huynh thì nó lại hay
33,Tao nhớ lại thời x-game :)))
34,Đả thành công
35,Có thể nói a này là cụ tổ thứ ... của bốc đầu
36,GG❤
37,anh dậy bốc đứng đi e tập thành thạo đc bốc ngồi r ít lệchd dầu xe đi đc xa bâyh anh dậy bốc đứng đi ek bốc thử xích nặng
38,Giữ cân bằng kiẻu j vậy ạ
39,Anh ơi xe em phanh hơi cứng có sao ko ạ
40,Nhà em gần a lắm
41,Hồi còn sống tao cũng bốc như v
42,E ko cần phanh 😞😞😞
43,Anh ơi xe em ko có đề thì có bốc đc ko anh
44,tao vào viện r
45,Trai hòm tai tro truong trinh nay
46,có nên đứng lên khi giật ko anh ????
47,em bốc mãi mà ko đc
48,Chú ơi bốc như thế nào ạ và chú chỉ cho con cai xe avibus xe đạp ấy chú
49,Vậy là muốn bốc đầu thì phải kết hợp cả tay kéo đầu lên và cùng lúc kéo thì đạp lên và xe khi lên cao thì bóp phanh lại đúng không mọi người
50,Bên e có dịch vụ hòm và an táng ạ 115 là cứu thương còn k gọi e nha 090xxxxxxx inbox cho e nếu cần
51,xe anh dùng trog video là xe gì v anh
52,Em toàn quên giữ phanh không
53,‘’Alo cung cấp cho em mượn cái đòn 2m”
54,Hướng dẫn làm cặn bã xã hội à?
55,Chất
56,Lúc đi có cần bóp phanh k anh
57,Xe em không có phang
58,Ko có t sao
59,1:2 hay 1:5 ạ
60,Anh ơi wheelie để dĩa 2 vs líp 2 em sợ bj vặn líp lắm
61,Lúc đi bốc đầu<br />Lúc về bốc mộ
62,Bốc đc rồi anh
63,Em cũng đang mê bốc đầu nè anh
64,Phanh trước hay phanh sau vại chú
65,Nếu xe không đề thì sao chú
66,Phanh tốt lại là phanh trươcds :&#39;)
67,aNH BIẾT hám đà à
68,E bị chắn bùn xe cứa đứt gót chân
69,Da đen và trại hòm xin tài trợ chương trình này     :D
70,Bốc ko dc a
71,Sợ vc
72,Sao em ko bôc đươc
73,Rất bổ ích
74,cần chỉnh số mấy ở xe 7 số
75,Anh làm xe leo núi đi em không có xe đó
76,Anh ơi không có phanh bốc như thế nào
77,Quá dễ
78,Sao e ko bốc đc anh
79,Con lm đc r nhưng xóm con nhiều con nít chơi lắm phải qua tận nhà văn hóa cơ
80,Chau boc qua da
81,Tập để đi lấy số chạy hòm
82,Em cảm ơn anh em đang tập và em tự tin em làm được
83,Cha em mới mở chạy hòm á ai rãnh qua ủng hộ nha =]]
84,Học độc 1 buổi chiều mà đã sắp thành công r
85,Cam on a
86,xe xinj vl
87,Bốc cào cào kiểu gì a
88,Đù má năm cấp 2 tao đi xe đạp cà tàng bốc đầu chán rồi chả cần chuẩn bị cái gì hết
89,Em còn không có ai bảo
90,Học cách làn tretrau:v
91,team con gái bt bốk đầu đỉm danhhhh :3
92,xe e là kiểu xe địa hình của thống nhất e thấy nó hơi nặng nên hơi khó thì làm thế nào ạ
93,Em đi được tầm vài k
94,Em thả tay bốc đầu còn được
95,Anh ơi em ko chạy đc
96,Cổ nặng có làm đc ko anh
97,Cái xích sau có thay khác nhà sản xuất đc k a
98,bôc đâu la chêt
99,Muốn làm lắm mà sợ té
