,Raw_Comments
0,Nghe tiếng anh xong lú cả đầu
1,"Chán nhà nước Việt quá, công an, cảnh sát và thậm chí là bảo vệ, đeo có thằng nào nói chuyện lịch sự, nhẹ nhàng đc hết, toàn nạt với chửi"
2,Để mình sub cho pro mấy acc luôn :D. mừng cho pro lên đc 1 triệu lượt coi rồi đó
3,Ông bảo vệ cục súc vãi
4,Ra đường công cộng không nên biểu diễn có thể gây tai nạn cho ngừoi khác. Mình góp ý chân thành
5,Em cũng gần thị nghè luôn này
6,Nếu anh không phiền anh có thể dạy em trick với được không ạ
7,Anh ở gần thị nghè à
8,Chơi mười mấy năm mà k biết manual . Hê hê
9,Haha ông tây lông này dễ thương ghê
10,Nói nhẹ bọn mặt dầy chắc nghe
11,Anh ơi hóng clip mới anh ơi
12,em 12 tuổi mà mua ở đâu vậy anh
13,anh ơi cho em hỏi xe trial nhiêu vậy anh
14,"Coi ngày này cũng thấy ông bảo vệ to tiếng, nói chuyện không đoàn hoàn"
15,"<a href=""https://www.youtube.com/watch?v=8uVlRAvd_cs&amp;t=0m16s"">0:16</a> ờ ra ngoài đường chơi đi! có gì xe đụng cho an toàn hơn :&gt;"
16,có chạm cỏ đâu đưa ổng coi clip đi
17,Chơi trò này bị chửi nhiều quá v
18,Đơn giản lắm... Tui chạy củng được
19,Bảo vệ thôi làm như ông nội người ta<br />Đó VN nhìn nhục chưa
20,Xe ko có yên
21,Cha già ông bảo vệ
22,Sao ông tây nói e nge dc có mấy chữ à.  😭😭😭😭😵😵😵
23,anh tham gia lam sao
24,Bảo vệ xạo lồn
25,Xin tên channel
26,"đã đi ra đường thì đi cho đàng hoàng bốc đầu bốc đít chi để r ko khéo ngã còn làm ảnh hưởng tới ng khác, muốn thể hiện thì ra khu tập hoặc bãi đất trống. Thân"
27,bv kiu đó dễ bị đáh chết mẹ ổng lun
28,"Xe riêng cho nhảy packu, xe ông Tây ko yên, bàn đạp ngắn"
29,Xe khônh có chổ ngồi sao mà ngồi đây
30,em sống ở đây nè
31,Chơi  môn  nay khó k anh oi
32,Đường Hoàng Sa
33,Xe đó là xe j vậy anh ơi
34,Bảo vệ kick anh Tây off the grass
35,Pax đại nay có video viral ghê ta :)))))
36,<b><i>Mới vô coi video đã thấy bị chửi =)))</i></b>
37,"Xe đạp chất và đẹp ,nhưng mà có điều là lỡ tay lao vào bãi sình thì chắc chết  :))"
38,Xe như này giá khoảng bao nhiêu vậy?
39,Chơi chỗ này còn ko cho.
40,Best thi đi xe đạp chậm
41,Đây là sân sau siêu thị copmart
42,Vui ve giua người Việt nam nguoi nc ngoai
43,chỉ muốn đập ông bảo vệ
44,Ông bảo vệ mà bị anh Tây đấm cho 1 phát chắc tiêu
45,nhìn ở đây giống bờ kè ở phường 8 quận 3 quá ta?
46,Thằng bv sủa  ghê vl
47,thằng cu con chứ &quot;anh&quot; iếc gì. đừng cứ thấy tây thì tôn nó lên thành &quot;anh&quot; thành &quot;ông&quot;. tự ti một dân tộc.
48,"cách khoảng 1 km nữa là tới nhà mik<br /><br /><br /><br /><br /><br /><br /><br /><br /><br />Nói cho vui th, gạch đá xin nhận"
49,Giốg ở cầu thị nghè
50,Xe tên gì vậy
51,Sao xe ko có yên
52,Có bạn nào chơi liên quân k qua kênh mình coi đi mà
53,Sau trường Đoàn Thị Điểm kìa
54,Đỉnh ta
55,A Tây dễ thương quá
56,Dupng truong sa
57,rất giống đường hoàng sa trường sa
58,Sao giống đường trường sa hoàng sa v
59,Môn nghệ thuật xe đạp đỉnh cao mà người nước ngoài vẫn hay biểu diễn kìa
60,anh oi có bán xe anh ko
61,Nơi mà các anh chơi ở video trên là quận mấy z ạ
62,hay
63,Ma chua chay yo co that kk dap xuog be tong cot tru k ma😃
64,May may nhoc bac ky hoc duoc Chua?
65,Chạy xe này chắc tao té sml luôn quá
66,Anh tien mang giay vam
67,Kênh thị nghè chứ đâu
68,Nhà em lử đó
69,Anh đi ngang nhà em
70,Đẳng cấp n khác hẳn
71,Đẳng cấp n khác hẳn
72,Xe đó tên j v
73,Chỗ này em đã đến rồi
74,<b>Anh hiểu thằng Tây vs thằng Việt nói gì ko. Tôi thì tôi hiểu 1 nửa thôi</b>
75,công viên công cộng ở việt nam lại có bảo vệ. nản
76,Đường trường sa à :
77,Đỉnh
78,1 chiếc này bao nhiêu ạ có link bán ko ạ
79,Có phải bên Hoàng Sa k ad nhìn giống quá
80,sao AD ko choi cai đó i @@
81,Xe đẹp mà anh nào hack mất cái yên r 😅😅😅
82,Xe thắng ăn vãi
83,Cần add làm vietsub. Chứ đâu phải ai cũng biế tiếng anh
84,Bảo vệ mẹ nói chuyện khó ưa
85,làm thêm vài Clip đi anh ê
86,Giữa đường mà chạy bốc đầu là phạm luật rồi
87,Đm chạy chưa lên cỏ mà ông kia làm ghê v~
88,Công viên này nó đâu zậy anh
89,Quay bằng cam gì á bạn
90,:v qua dinh voi anh tay cho 1 like
91,<i>he he he</i>
92,<del>he he he</del>
93,<b>_ he he he_</b>
94,Vô công viên Chi bị chửi
95,Ông bảo vệ khó tính vl
96,<b><i>Nhìn Ông Tây Vs Ng Việt Nam Thân Thiện Vui Ghê</i></b>
97,Xin link mua xe bmx này vs
98,Có xem tìm kiếm tài năng   của VN  chưa
99,Giang hồ đồn Đội Này Chuyên Bật Nắp Quan Tài-Hiếp Dâm Kẻ Quá Cố 😞
