Column1,Label,Raw_Comments
0,Sadness,Em bắt đầu chạy tới không nổi
1,Sadness,Em tập 1tuân dồi vẫn không thể đi được
2,Sadness,Anh ơi em chạy không biết giữ cân bằng
3,Other,"<a href=""https://www.youtube.com/watch?v=VZxvYi591Cg&amp;t=6m45s"">6:45</a>"
4,Other,"<a href=""https://www.youtube.com/watch?v=VZxvYi591Cg&amp;t=4m56s"">4:56</a>"
5,Disgust,Thần chết luôn sẵn sàng dang tay chào đón bạn đến với địa ngục
6,Other,Tôi đã từng bốc đầu đi
7,Disgust,Trước khi tôi nhập viện thích làm vậy lắm!
8,Other,A kéo kênh lên hộ e vs
9,Other,🤣🤣
10,Enjoyment,"Anh ơi , em đi đường em hay thấy mấy ông đạp xe đạp hay thả 2 chạy thả tay lắm, anh chỉ em cách làm vậy đi anh 🙏"
11,Other,Xe e nó nặng lắm có bốc đc ko a
12,Other,Hàn líp cho nhanh
13,Disgust,Bốc đầu xong bốc đất nên đắp mả xây mộ luôn
14,Enjoyment,Hay anh ơi
15,Enjoyment,Khiêm Tốn - Thật Thà - Dũng cảm ! Cám ơn bạn - mình qua 30 mà củng thích chinh phục kỹ năng và cảm giác này vì thuở nhỏ thấy anh chị chơi rất hay !
16,Enjoyment,Cảm ơn a nhiều nha
17,Enjoyment,Được
18,Other,dislike thứ 800
19,Sadness,Phanh cơ khó mà bóp được
20,Enjoyment,Cảm ơn Video hướng dẫn bốc đầu hay lắm.
21,Sadness,Em bốc đc r nhưng vẫn bốc còn té
22,Sadness,Em toàn lấy tay à ko lên noi
23,Sadness,anh ơi em làm theo anh nhưng mãi không lên được ạ. em chỉ bốc thấp được thôi ạ
24,Sadness,Anh ơi sao xe em bốc mãi ko đc
25,Enjoyment,Xe đạp đẹp như này bao nhiêu anh
26,Other,Anh ơi cần chọn xe gì để bốc đầu
27,Surprise,Ủa anh em bốc e bay vô bụi cây té tháy má luôn 😤
28,Other,Thắng  sau ko ăn thì  sao anh
29,Other,e có 7 líp đi líp nào a
30,Other,em đi con LIFE-ck24 khó bốc lắm anh ạ<br />anh có thể hướng dẫn cách bốc con đấy ko ạ?
31,Other,"anh ơi, anh có thể giải thích về cách thăng bằng để xe ko bị ngã sang hai bên được ko ạ."
32,Other,Xem cái này trước mặt phụ huynh thì nó lại hay
33,Other,Tao nhớ lại thời x-game :)))
34,Enjoyment,Đả thành công
35,Surprise,Có thể nói a này là cụ tổ thứ ... của bốc đầu
36,Enjoyment,GG❤
37,Other,anh dậy bốc đứng đi e tập thành thạo đc bốc ngồi r ít lệchd dầu xe đi đc xa bâyh anh dậy bốc đứng đi ek bốc thử xích nặng
38,Other,Giữ cân bằng kiẻu j vậy ạ
39,Other,Anh ơi xe em phanh hơi cứng có sao ko ạ
40,Other,Nhà em gần a lắm
41,Disgust,Hồi còn sống tao cũng bốc như v
42,Other,E ko cần phanh 😞😞😞
43,Sadness,Anh ơi xe em ko có đề thì có bốc đc ko anh
44,Anger,tao vào viện r
45,Disgust,Trai hòm tai tro truong trinh nay
46,Other,có nên đứng lên khi giật ko anh ????
47,Sadness,em bốc mãi mà ko đc
48,Other,Chú ơi bốc như thế nào ạ và chú chỉ cho con cai xe avibus xe đạp ấy chú
49,Other,Vậy là muốn bốc đầu thì phải kết hợp cả tay kéo đầu lên và cùng lúc kéo thì đạp lên và xe khi lên cao thì bóp phanh lại đúng không mọi người
50,Disgust,Bên e có dịch vụ hòm và an táng ạ 115 là cứu thương còn k gọi e nha 090xxxxxxx inbox cho e nếu cần
51,Other,xe anh dùng trog video là xe gì v anh
52,Sadness,Em toàn quên giữ phanh không
53,Other,‘’Alo cung cấp cho em mượn cái đòn 2m”
54,Anger,Hướng dẫn làm cặn bã xã hội à?
55,Enjoyment,Chất
56,Other,Lúc đi có cần bóp phanh k anh
57,Sadness,Xe em không có phang
58,Disgust,Ko có t sao
59,Other,1:2 hay 1:5 ạ
60,Sadness,Anh ơi wheelie để dĩa 2 vs líp 2 em sợ bj vặn líp lắm
61,Anger,Lúc đi bốc đầu<br />Lúc về bốc mộ
62,Enjoyment,Bốc đc rồi anh
63,Enjoyment,Em cũng đang mê bốc đầu nè anh
64,Other,Phanh trước hay phanh sau vại chú
65,Other,Nếu xe không đề thì sao chú
66,Other,Phanh tốt lại là phanh trươcds :&#39;)
67,Surprise,aNH BIẾT hám đà à
68,Sadness,E bị chắn bùn xe cứa đứt gót chân
69,Disgust,Da đen và trại hòm xin tài trợ chương trình này     :D
70,Other,Bốc ko dc a
71,Fear,Sợ vc
72,Other,Sao em ko bôc đươc
73,Enjoyment,Rất bổ ích
74,Other,cần chỉnh số mấy ở xe 7 số
75,Other,Anh làm xe leo núi đi em không có xe đó
76,Other,Anh ơi không có phanh bốc như thế nào
77,Other,Quá dễ
78,Sadness,Sao e ko bốc đc anh
79,Sadness,Con lm đc r nhưng xóm con nhiều con nít chơi lắm phải qua tận nhà văn hóa cơ
80,Enjoyment,Chau boc qua da
81,Disgust,Tập để đi lấy số chạy hòm
82,Enjoyment,Em cảm ơn anh em đang tập và em tự tin em làm được
83,Disgust,Cha em mới mở chạy hòm á ai rãnh qua ủng hộ nha =]]
84,Enjoyment,Học độc 1 buổi chiều mà đã sắp thành công r
85,Enjoyment,Cam on a
86,Enjoyment,xe xinj vl
87,Other,Bốc cào cào kiểu gì a
88,Other,Đù má năm cấp 2 tao đi xe đạp cà tàng bốc đầu chán rồi chả cần chuẩn bị cái gì hết
89,Sadness,Em còn không có ai bảo
90,Disgust,Học cách làn tretrau:v
91,Other,team con gái bt bốk đầu đỉm danhhhh :3
92,Other,xe e là kiểu xe địa hình của thống nhất e thấy nó hơi nặng nên hơi khó thì làm thế nào ạ
93,Other,Em đi được tầm vài k
94,Other,Em thả tay bốc đầu còn được
95,Sadness,Anh ơi em ko chạy đc
96,Other,Cổ nặng có làm đc ko anh
97,Other,Cái xích sau có thay khác nhà sản xuất đc k a
98,Disgust,bôc đâu la chêt
99,Fear,Muốn làm lắm mà sợ té
